success,trial_type,trial_index,time_elapsed,internal_node_id,protocol_sum,subject_identifier,subject_sum,subject_pair,STUDY_ID,PROLIFIC_PID,SESSION_ID,practice_instructions,leaderboard_instructions,bonus,reveal_word,self_rating,confidence,view_history,rt,responses,question_order,correct,test_part,word,click_log,final_keyboard_state,num_clicks,points,cheat,position_RT,position,player,i_game,true_position,distance,last_word,response,stimulus,confidence_slider_self_response
1.0,fullscreen,0,3917,0.0-0.0,,500,"[30, 71, 43, 57, 177, 5, 211, 73, 188, 208, 105, 196, 167, 17, 180, 74, 47, 255, 184, 226, 116, 113, 75, 176, 126, 207, 255, 105, 169, 167, 246, 123]",250,66a3ed3c5d10d0e7d8a6b9da,656e0dab178ffccdaa47202e,66a3ee5c40e54dd1270e7078,1,0,0,False,1,29,,,,,,,,,,,,,,,,,,,,,,
,instructions,1,7128,0.0-1.0,,500,"[30, 71, 43, 57, 177, 5, 211, 73, 188, 208, 105, 196, 167, 17, 180, 74, 47, 255, 184, 226, 116, 113, 75, 176, 126, 207, 255, 105, 169, 167, 246, 123]",250,66a3ed3c5d10d0e7d8a6b9da,656e0dab178ffccdaa47202e,66a3ee5c40e54dd1270e7078,1,0,0,False,1,29,"[{""page_index"":0,""viewing_time"":3208.600000143051}]",3208.7000000476837,,,,,,,,,,,,,,,,,,,,
,instructions,2,18703,0.0-2.0-0.0,,500,"[30, 71, 43, 57, 177, 5, 211, 73, 188, 208, 105, 196, 167, 17, 180, 74, 47, 255, 184, 226, 116, 113, 75, 176, 126, 207, 255, 105, 169, 167, 246, 123]",250,66a3ed3c5d10d0e7d8a6b9da,656e0dab178ffccdaa47202e,66a3ee5c40e54dd1270e7078,1,0,0,False,1,29,"[{""page_index"":0,""viewing_time"":11574.699999809265}]",11575.099999904633,,,,,,,,,,,,,,,,,,,,
,survey-multi-choice,3,34754,0.0-2.0-1.0,,500,"[30, 71, 43, 57, 177, 5, 211, 73, 188, 208, 105, 196, 167, 17, 180, 74, 47, 255, 184, 226, 116, 113, 75, 176, 126, 207, 255, 105, 169, 167, 246, 123]",250,66a3ed3c5d10d0e7d8a6b9da,656e0dab178ffccdaa47202e,66a3ee5c40e54dd1270e7078,1,0,0,False,1,29,,16047.799999952316,"{""Q0"":""... reveal the word with as <b>few letter guesses</b> as possible""}",[0],1.0,multichoice_nonpretend,,,,,,,,,,,,,,,,
,instructions,4,36128,0.0-3.0,,500,"[30, 71, 43, 57, 177, 5, 211, 73, 188, 208, 105, 196, 167, 17, 180, 74, 47, 255, 184, 226, 116, 113, 75, 176, 126, 207, 255, 105, 169, 167, 246, 123]",250,66a3ed3c5d10d0e7d8a6b9da,656e0dab178ffccdaa47202e,66a3ee5c40e54dd1270e7078,1,0,0,False,1,29,"[{""page_index"":0,""viewing_time"":1371.5}]",1371.7999999523163,,,,,,,,,,,,,,,,,,,,
,Hangman,5,83207,0.0-4.0,,500,"[30, 71, 43, 57, 177, 5, 211, 73, 188, 208, 105, 196, 167, 17, 180, 74, 47, 255, 184, 226, 116, 113, 75, 176, 126, 207, 255, 105, 169, 167, 246, 123]",250,66a3ed3c5d10d0e7d8a6b9da,656e0dab178ffccdaa47202e,66a3ee5c40e54dd1270e7078,1,0,0,False,1,29,,,,,,,ZEBRA,"{'letter': ['', 'C', 'A', 'O', 'E', 'S', 'T', 'R', 'Z', 'B'], 't': [0, 5044.899999856949, 7684.599999904633, 33157.700000047684, 34088.799999952316, 38502.299999952316, 39468.799999952316, 40921.59999990463, 43860.700000047684, 45045.200000047684], 'hit': [None, 0, 1, 0, 1, 0, 0, 1, 1, 1], 'asked': ['', 'C', 'CA', 'CAO', 'CAOE', 'CAOES', 'CAOEST', 'CAOESTR', 'CAOESTRZ', 'CAOESTRZB'], 'word_state': ['_____', '_____', '____A', '____A', '_E__A', '_E__A', '_E__A', '_E_RA', 'ZE_RA', 'ZEBRA']}","['C', 'A', 'O', 'E', 'S', 'T', 'R', 'Z', 'B']",9.0,11.0,0.0,,,,,,,,,,
,instructions,6,103844,0.0-5.0,,500,"[30, 71, 43, 57, 177, 5, 211, 73, 188, 208, 105, 196, 167, 17, 180, 74, 47, 255, 184, 226, 116, 113, 75, 176, 126, 207, 255, 105, 169, 167, 246, 123]",250,66a3ed3c5d10d0e7d8a6b9da,656e0dab178ffccdaa47202e,66a3ee5c40e54dd1270e7078,1,0,0,False,1,29,"[{""page_index"":0,""viewing_time"":3472.9000000953674},{""page_index"":1,""viewing_time"":17160}]",20633.700000047684,,,,,,,,,,,,,,,,,,,,
,survey-multi-choice,7,110960,0.0-6.0,,500,"[30, 71, 43, 57, 177, 5, 211, 73, 188, 208, 105, 196, 167, 17, 180, 74, 47, 255, 184, 226, 116, 113, 75, 176, 126, 207, 255, 105, 169, 167, 246, 123]",250,66a3ed3c5d10d0e7d8a6b9da,656e0dab178ffccdaa47202e,66a3ee5c40e54dd1270e7078,1,0,0,False,1,29,,7114.699999809265,"{""Q0"":""...from <b>a previous session</b> that is part of the upcoming tournament.""}",[0],0.0,multichoice_leaderboard,,,,,,,,,,,,,,,,
,instructions,8,112512,0.0-7.0-0.0,,500,"[30, 71, 43, 57, 177, 5, 211, 73, 188, 208, 105, 196, 167, 17, 180, 74, 47, 255, 184, 226, 116, 113, 75, 176, 126, 207, 255, 105, 169, 167, 246, 123]",250,66a3ed3c5d10d0e7d8a6b9da,656e0dab178ffccdaa47202e,66a3ee5c40e54dd1270e7078,1,0,0,False,1,29,"[{""page_index"":0,""viewing_time"":1549.9000000953674}]",1550.1000001430511,,,,,,,,,,,,,,,,,,,,
,survey-multi-choice,9,119024,0.0-7.0-1.0,,500,"[30, 71, 43, 57, 177, 5, 211, 73, 188, 208, 105, 196, 167, 17, 180, 74, 47, 255, 184, 226, 116, 113, 75, 176, 126, 207, 255, 105, 169, 167, 246, 123]",250,66a3ed3c5d10d0e7d8a6b9da,656e0dab178ffccdaa47202e,66a3ee5c40e54dd1270e7078,1,0,0,False,1,29,,6511.699999809265,"{""Q0"":""...from <b>a previous session</b> that is not part of the upcoming tournament.""}",[0],1.0,multichoice_leaderboard,,,,,,,,,,,,,,,,
