"success","trial_type","trial_index","time_elapsed","internal_node_id","protocol_sum","subject_identifier","subject_sum","subject_pair","STUDY_ID","PROLIFIC_PID","SESSION_ID","practice_instructions","leaderboard_instructions","bonus","reveal_word","self_rating","confidence","view_history","rt","responses","question_order","correct","test_part","word","final_keyboard_state","num_clicks","points","cheat","response","position_RT","position","player","i_game","true_position","distance","last_word","stimulus","confidence_slider_self_response"
"true","fullscreen","0","5295","0.0-0.0","","219","15,212,43,63,115,196,72,179,73,64,179,57,248,125,7,173,241,22,176,92,2,39,170,215,46,143,14,233,5,51,230,153","109","669eec2e4270c76bc184a38e","6659cae93e038bcb391ca5cc","66a0abc63d69e0253ca518e1","2","1","0","true","1","100","","","","","","","","","","","","","","","","","","","","",""
"","instructions","1","22993","0.0-1.0","","219","15,212,43,63,115,196,72,179,73,64,179,57,248,125,7,173,241,22,176,92,2,39,170,215,46,143,14,233,5,51,230,153","109","669eec2e4270c76bc184a38e","6659cae93e038bcb391ca5cc","66a0abc63d69e0253ca518e1","2","1","0","true","1","100","[{""page_index"":0,""viewing_time"":17694}]","17696","","","","","","","","","","","","","","","","","","",""
"","instructions","2","77479","0.0-2.0-0.0","","219","15,212,43,63,115,196,72,179,73,64,179,57,248,125,7,173,241,22,176,92,2,39,170,215,46,143,14,233,5,51,230,153","109","669eec2e4270c76bc184a38e","6659cae93e038bcb391ca5cc","66a0abc63d69e0253ca518e1","2","1","0","true","1","100","[{""page_index"":0,""viewing_time"":54484}]","54485","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","126712","0.0-2.0-1.0","","219","15,212,43,63,115,196,72,179,73,64,179,57,248,125,7,173,241,22,176,92,2,39,170,215,46,143,14,233,5,51,230,153","109","669eec2e4270c76bc184a38e","6659cae93e038bcb391ca5cc","66a0abc63d69e0253ca518e1","2","1","0","true","1","100","","49229","{""Q0"":""... go <b>really fast</b> and finish the game as quickly as possible""}","[0]","false","multichoice_nonpretend","","","","","","","","","","","","","","",""
"","instructions","4","139863","0.0-2.1-0.1","","219","15,212,43,63,115,196,72,179,73,64,179,57,248,125,7,173,241,22,176,92,2,39,170,215,46,143,14,233,5,51,230,153","109","669eec2e4270c76bc184a38e","6659cae93e038bcb391ca5cc","66a0abc63d69e0253ca518e1","2","1","0","true","1","100","[{""page_index"":0,""viewing_time"":13147}]","13148","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","5","151536","0.0-2.1-1.1","","219","15,212,43,63,115,196,72,179,73,64,179,57,248,125,7,173,241,22,176,92,2,39,170,215,46,143,14,233,5,51,230,153","109","669eec2e4270c76bc184a38e","6659cae93e038bcb391ca5cc","66a0abc63d69e0253ca518e1","2","1","0","true","1","100","","11670","{""Q0"":""... reveal the word with as <b>few letter guesses</b> as possible""}","[0]","true","multichoice_nonpretend","","","","","","","","","","","","","","",""
"","instructions","6","155239","0.0-3.0","","219","15,212,43,63,115,196,72,179,73,64,179,57,248,125,7,173,241,22,176,92,2,39,170,215,46,143,14,233,5,51,230,153","109","669eec2e4270c76bc184a38e","6659cae93e038bcb391ca5cc","66a0abc63d69e0253ca518e1","2","1","0","true","1","100","[{""page_index"":0,""viewing_time"":3702}]","3702","","","","","","","","","","","","","","","","","","",""
"","Hangman","7","210655","0.0-4.0","","219","15,212,43,63,115,196,72,179,73,64,179,57,248,125,7,173,241,22,176,92,2,39,170,215,46,143,14,233,5,51,230,153","109","669eec2e4270c76bc184a38e","6659cae93e038bcb391ca5cc","66a0abc63d69e0253ca518e1","2","1","0","true","1","100","","","","","","","ZEBRA","A,C,G,T,V,X,Z,E,B,R","10","10","false","","","","","","","","","",""
"","instructions","8","250184","0.0-5.0","","219","15,212,43,63,115,196,72,179,73,64,179,57,248,125,7,173,241,22,176,92,2,39,170,215,46,143,14,233,5,51,230,153","109","669eec2e4270c76bc184a38e","6659cae93e038bcb391ca5cc","66a0abc63d69e0253ca518e1","2","1","0","true","1","100","[{""page_index"":0,""viewing_time"":6373},{""page_index"":1,""viewing_time"":33152}]","39527","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","9","266320","0.0-6.0","","219","15,212,43,63,115,196,72,179,73,64,179,57,248,125,7,173,241,22,176,92,2,39,170,215,46,143,14,233,5,51,230,153","109","669eec2e4270c76bc184a38e","6659cae93e038bcb391ca5cc","66a0abc63d69e0253ca518e1","2","1","0","true","1","100","","16132","{""Q0"":""...from <b>a previous session</b> that is part of the upcoming tournament.""}","[0]","false","multichoice_leaderboard","","","","","","","","","","","","","","",""
"","instructions","10","270479","0.0-7.0-0.0","","219","15,212,43,63,115,196,72,179,73,64,179,57,248,125,7,173,241,22,176,92,2,39,170,215,46,143,14,233,5,51,230,153","109","669eec2e4270c76bc184a38e","6659cae93e038bcb391ca5cc","66a0abc63d69e0253ca518e1","2","1","0","true","1","100","[{""page_index"":0,""viewing_time"":4158}]","4158","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","11","290103","0.0-7.0-1.0","","219","15,212,43,63,115,196,72,179,73,64,179,57,248,125,7,173,241,22,176,92,2,39,170,215,46,143,14,233,5,51,230,153","109","669eec2e4270c76bc184a38e","6659cae93e038bcb391ca5cc","66a0abc63d69e0253ca518e1","2","1","0","true","1","100","","19623","{""Q0"":""...from the <b>upcoming tournament</b>.""}","[0]","false","multichoice_leaderboard","","","","","","","","","","","","","","",""
"","instructions","12","294447","0.0-7.1-0.1","","219","15,212,43,63,115,196,72,179,73,64,179,57,248,125,7,173,241,22,176,92,2,39,170,215,46,143,14,233,5,51,230,153","109","669eec2e4270c76bc184a38e","6659cae93e038bcb391ca5cc","66a0abc63d69e0253ca518e1","2","1","0","true","1","100","[{""page_index"":0,""viewing_time"":4340}]","4341","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","13","314456","0.0-7.1-1.1","","219","15,212,43,63,115,196,72,179,73,64,179,57,248,125,7,173,241,22,176,92,2,39,170,215,46,143,14,233,5,51,230,153","109","669eec2e4270c76bc184a38e","6659cae93e038bcb391ca5cc","66a0abc63d69e0253ca518e1","2","1","0","true","1","100","","20007","{""Q0"":""...from <b>a previous session</b> that is not part of the upcoming tournament.""}","[0]","true","multichoice_leaderboard","","","","","","","","","","","","","","",""
"","instructions","14","342287","0.0-8.0","","219","15,212,43,63,115,196,72,179,73,64,179,57,248,125,7,173,241,22,176,92,2,39,170,215,46,143,14,233,5,51,230,153","109","669eec2e4270c76bc184a38e","6659cae93e038bcb391ca5cc","66a0abc63d69e0253ca518e1","2","1","0","true","1","100","[{""page_index"":0,""viewing_time"":27830}]","27831","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","15","360096","0.0-9.0","","219","15,212,43,63,115,196,72,179,73,64,179,57,248,125,7,173,241,22,176,92,2,39,170,215,46,143,14,233,5,51,230,153","109","669eec2e4270c76bc184a38e","6659cae93e038bcb391ca5cc","66a0abc63d69e0253ca518e1","2","1","0","true","1","100","","17806","{""Q0"":""...how well players did (in terms of <b>points</b>) in <b>previous games.</b>""}","[0]","false","multichoice_tournament","","","","","","","","","","","","","","",""
"","instructions","16","366407","0.0-10.0-0.0","","219","15,212,43,63,115,196,72,179,73,64,179,57,248,125,7,173,241,22,176,92,2,39,170,215,46,143,14,233,5,51,230,153","109","669eec2e4270c76bc184a38e","6659cae93e038bcb391ca5cc","66a0abc63d69e0253ca518e1","2","1","0","true","1","100","[{""page_index"":0,""viewing_time"":6309}]","6310","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","17","380904","0.0-10.0-1.0","","219","15,212,43,63,115,196,72,179,73,64,179,57,248,125,7,173,241,22,176,92,2,39,170,215,46,143,14,233,5,51,230,153","109","669eec2e4270c76bc184a38e","6659cae93e038bcb391ca5cc","66a0abc63d69e0253ca518e1","2","1","0","true","1","100","","14495","{""Q0"":""...players' leaderboard position (in terms of <b>points</b>) in an <b>upcoming tournament.</b>""}","[0]","true","multichoice_tournament","","","","","","","","","","","","","","",""
"","instructions","18","397855","0.0-11.0","","219","15,212,43,63,115,196,72,179,73,64,179,57,248,125,7,173,241,22,176,92,2,39,170,215,46,143,14,233,5,51,230,153","109","669eec2e4270c76bc184a38e","6659cae93e038bcb391ca5cc","66a0abc63d69e0253ca518e1","2","1","0","true","1","100","[{""page_index"":0,""viewing_time"":16950}]","16950","","","","","","","","","","","","","","","","","","",""
"","instructions","19","429047","0.0-12.0-0.0","","219","15,212,43,63,115,196,72,179,73,64,179,57,248,125,7,173,241,22,176,92,2,39,170,215,46,143,14,233,5,51,230,153","109","669eec2e4270c76bc184a38e","6659cae93e038bcb391ca5cc","66a0abc63d69e0253ca518e1","2","1","0","true","1","100","[{""page_index"":0,""viewing_time"":31189}]","31190","","","","","","","","","","","","","","","","","","",""
"","type-this","20","454966","0.0-12.0-1.0","","219","15,212,43,63,115,196,72,179,73,64,179,57,248,125,7,173,241,22,176,92,2,39,170,215,46,143,14,233,5,51,230,153","109","669eec2e4270c76bc184a38e","6659cae93e038bcb391ca5cc","66a0abc63d69e0253ca518e1","2","1","0","true","1","100","","25396","SHAKIRA","","","","","","","","","SHAKIRA","","","","","","","","",""
"","Hangman_replay","21","473763","0.0-12.0-2.0","","219","15,212,43,63,115,196,72,179,73,64,179,57,248,125,7,173,241,22,176,92,2,39,170,215,46,143,14,233,5,51,230,153","109","669eec2e4270c76bc184a38e","6659cae93e038bcb391ca5cc","66a0abc63d69e0253ca518e1","2","1","0","true","1","100","","","","","","","SHAKIRA","R,S,T,N,E,A,K,H,I","9","12","false","","","","","","","","","",""
"","instructions","22","482793","0.0-12.0-3.0","","219","15,212,43,63,115,196,72,179,73,64,179,57,248,125,7,173,241,22,176,92,2,39,170,215,46,143,14,233,5,51,230,153","109","669eec2e4270c76bc184a38e","6659cae93e038bcb391ca5cc","66a0abc63d69e0253ca518e1","2","1","0","true","1","100","[{""page_index"":0,""viewing_time"":9027}]","9029","","","","","","","","","","","","","","","","","","",""
"","Guess_leaderboard","23","495991","0.0-12.0-4.0","","219","15,212,43,63,115,196,72,179,73,64,179,57,248,125,7,173,241,22,176,92,2,39,170,215,46,143,14,233,5,51,230,153","109","669eec2e4270c76bc184a38e","6659cae93e038bcb391ca5cc","66a0abc63d69e0253ca518e1","2","1","0","true","1","100","","","","","","","SHAKIRA","","","","","","12437","29","2","0","10","19","","",""
"","instructions","24","513823","0.0-12.0-0.1","","219","15,212,43,63,115,196,72,179,73,64,179,57,248,125,7,173,241,22,176,92,2,39,170,215,46,143,14,233,5,51,230,153","109","669eec2e4270c76bc184a38e","6659cae93e038bcb391ca5cc","66a0abc63d69e0253ca518e1","2","1","0","true","1","100","[{""page_index"":0,""viewing_time"":17828}]","17829","","","","","","","","","","","","","","","","","","",""
"","type-this","25","570051","0.0-12.0-1.1","","219","15,212,43,63,115,196,72,179,73,64,179,57,248,125,7,173,241,22,176,92,2,39,170,215,46,143,14,233,5,51,230,153","109","669eec2e4270c76bc184a38e","6659cae93e038bcb391ca5cc","66a0abc63d69e0253ca518e1","2","1","0","true","1","100","","55719"," THIRTY FOUR, THIRTY FOUR, THIRTY FOUR,THIRTY FOUR","","","","","","","","","THIRTY FOUR","","","","","","","","",""
"","Hangman_replay","26","602199","0.0-12.0-2.1","","219","15,212,43,63,115,196,72,179,73,64,179,57,248,125,7,173,241,22,176,92,2,39,170,215,46,143,14,233,5,51,230,153","109","669eec2e4270c76bc184a38e","6659cae93e038bcb391ca5cc","66a0abc63d69e0253ca518e1","2","1","0","true","1","100","","","","","","","THIRTY FOUR","F,O,U,R,T,Y,H,I","8","15","false","","","","","","","","","",""
"","instructions","27","608488","0.0-12.0-3.1","","219","15,212,43,63,115,196,72,179,73,64,179,57,248,125,7,173,241,22,176,92,2,39,170,215,46,143,14,233,5,51,230,153","109","669eec2e4270c76bc184a38e","6659cae93e038bcb391ca5cc","66a0abc63d69e0253ca518e1","2","1","0","true","1","100","[{""page_index"":0,""viewing_time"":6287}]","6288","","","","","","","","","","","","","","","","","","",""
"","Guess_leaderboard","28","640644","0.0-12.0-4.1","","219","15,212,43,63,115,196,72,179,73,64,179,57,248,125,7,173,241,22,176,92,2,39,170,215,46,143,14,233,5,51,230,153","109","669eec2e4270c76bc184a38e","6659cae93e038bcb391ca5cc","66a0abc63d69e0253ca518e1","2","1","0","true","1","100","","","","","","","THIRTY FOUR","","","","","","31390","15","15","1","5","10","","",""
"","instructions","29","651623","0.0-12.0-0.2","","219","15,212,43,63,115,196,72,179,73,64,179,57,248,125,7,173,241,22,176,92,2,39,170,215,46,143,14,233,5,51,230,153","109","669eec2e4270c76bc184a38e","6659cae93e038bcb391ca5cc","66a0abc63d69e0253ca518e1","2","1","0","true","1","100","[{""page_index"":0,""viewing_time"":10976}]","10977","","","","","","","","","","","","","","","","","","",""
"","type-this","30","666773","0.0-12.0-1.2","","219","15,212,43,63,115,196,72,179,73,64,179,57,248,125,7,173,241,22,176,92,2,39,170,215,46,143,14,233,5,51,230,153","109","669eec2e4270c76bc184a38e","6659cae93e038bcb391ca5cc","66a0abc63d69e0253ca518e1","2","1","0","true","1","100","","14641","THUMB","","","","","","","","","THUMB","","","","","","","","",""
"","Hangman_replay","31","742025","0.0-12.0-2.2","","219","15,212,43,63,115,196,72,179,73,64,179,57,248,125,7,173,241,22,176,92,2,39,170,215,46,143,14,233,5,51,230,153","109","669eec2e4270c76bc184a38e","6659cae93e038bcb391ca5cc","66a0abc63d69e0253ca518e1","2","1","0","true","1","100","","","","","","","THUMB","E,A,S,T,O,I,U,R,M,K,B,H","12","8","false","","","","","","","","","",""
