"success","trial_type","trial_index","time_elapsed","internal_node_id","protocol_sum","subject_identifier","subject_sum","subject_pair","STUDY_ID","PROLIFIC_PID","SESSION_ID","practice_instructions","leaderboard_instructions","bonus","reveal_word","self_rating","confidence","view_history","rt","responses","question_order","correct","test_part","word","final_keyboard_state","num_clicks","points","cheat","position_RT","position","player","i_game","true_position","distance","last_word","response","stimulus","confidence_slider_self_response"
"true","fullscreen","0","5366","0.0-0.0","","318","255,44,203,107,164,35,211,86,189,84,158,212,191,183,110,150,151,106,13,205,224,90,9,153,106,28,219,159,131,66,46,196","159","66a0b3911f23dfc7665bb169","65df67249b9a26deefa58d75","66a140430cb41d5d62d142ae","1","0","0","false","3","54","","","","","","","","","","","","","","","","","","","","",""
"","instructions","1","6841","0.0-1.0","","318","255,44,203,107,164,35,211,86,189,84,158,212,191,183,110,150,151,106,13,205,224,90,9,153,106,28,219,159,131,66,46,196","159","66a0b3911f23dfc7665bb169","65df67249b9a26deefa58d75","66a140430cb41d5d62d142ae","1","0","0","false","3","54","[{""page_index"":0,""viewing_time"":1473}]","1473","","","","","","","","","","","","","","","","","","",""
"","instructions","2","12113","0.0-2.0-0.0","","318","255,44,203,107,164,35,211,86,189,84,158,212,191,183,110,150,151,106,13,205,224,90,9,153,106,28,219,159,131,66,46,196","159","66a0b3911f23dfc7665bb169","65df67249b9a26deefa58d75","66a140430cb41d5d62d142ae","1","0","0","false","3","54","[{""page_index"":0,""viewing_time"":5270}]","5270","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","26131","0.0-2.0-1.0","","318","255,44,203,107,164,35,211,86,189,84,158,212,191,183,110,150,151,106,13,205,224,90,9,153,106,28,219,159,131,66,46,196","159","66a0b3911f23dfc7665bb169","65df67249b9a26deefa58d75","66a140430cb41d5d62d142ae","1","0","0","false","3","54","","14016","{""Q0"":""... reveal the word with as <b>few letter guesses</b> as possible""}","[0]","true","multichoice_nonpretend","","","","","","","","","","","","","","",""
"","instructions","4","27777","0.0-3.0","","318","255,44,203,107,164,35,211,86,189,84,158,212,191,183,110,150,151,106,13,205,224,90,9,153,106,28,219,159,131,66,46,196","159","66a0b3911f23dfc7665bb169","65df67249b9a26deefa58d75","66a140430cb41d5d62d142ae","1","0","0","false","3","54","[{""page_index"":0,""viewing_time"":1645}]","1645","","","","","","","","","","","","","","","","","","",""
"","Hangman","5","67510","0.0-4.0","","318","255,44,203,107,164,35,211,86,189,84,158,212,191,183,110,150,151,106,13,205,224,90,9,153,106,28,219,159,131,66,46,196","159","66a0b3911f23dfc7665bb169","65df67249b9a26deefa58d75","66a140430cb41d5d62d142ae","1","0","0","false","3","54","","","","","","","ZEBRA","H,M,A,S,T,O,E,C,D,F,R,L,U,V,W,B,Z","17","3","false","","","","","","","","","",""
"","instructions","6","79768","0.0-5.0","","318","255,44,203,107,164,35,211,86,189,84,158,212,191,183,110,150,151,106,13,205,224,90,9,153,106,28,219,159,131,66,46,196","159","66a0b3911f23dfc7665bb169","65df67249b9a26deefa58d75","66a140430cb41d5d62d142ae","1","0","0","false","3","54","[{""page_index"":0,""viewing_time"":1738},{""page_index"":1,""viewing_time"":10519}]","12258","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","7","86449","0.0-6.0","","318","255,44,203,107,164,35,211,86,189,84,158,212,191,183,110,150,151,106,13,205,224,90,9,153,106,28,219,159,131,66,46,196","159","66a0b3911f23dfc7665bb169","65df67249b9a26deefa58d75","66a140430cb41d5d62d142ae","1","0","0","false","3","54","","6679","{""Q0"":""...from <b>a previous session</b> that is not part of the upcoming tournament.""}","[0]","true","multichoice_leaderboard","","","","","","","","","","","","","","",""
"","instructions","8","95481","0.0-8.0","","318","255,44,203,107,164,35,211,86,189,84,158,212,191,183,110,150,151,106,13,205,224,90,9,153,106,28,219,159,131,66,46,196","159","66a0b3911f23dfc7665bb169","65df67249b9a26deefa58d75","66a140430cb41d5d62d142ae","1","0","0","false","3","54","[{""page_index"":0,""viewing_time"":9031}]","9031","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","9","102241","0.0-9.0","","318","255,44,203,107,164,35,211,86,189,84,158,212,191,183,110,150,151,106,13,205,224,90,9,153,106,28,219,159,131,66,46,196","159","66a0b3911f23dfc7665bb169","65df67249b9a26deefa58d75","66a140430cb41d5d62d142ae","1","0","0","false","3","54","","6759","{""Q0"":""...players' leaderboard position (in terms of <b>points</b>) in an <b>upcoming tournament.</b>""}","[0]","true","multichoice_tournament","","","","","","","","","","","","","","",""
