success,trial_type,trial_index,time_elapsed,internal_node_id,protocol_sum,subject_identifier,subject_sum,subject_pair,STUDY_ID,PROLIFIC_PID,SESSION_ID,practice_instructions,leaderboard_instructions,bonus,reveal_word,self_rating,confidence,view_history,rt,responses,question_order,correct,test_part,word,click_log,final_keyboard_state,num_clicks,points,cheat,position_RT,position,player,i_game,true_position,distance,last_word,response,stimulus,confidence_slider_self_response
1.0,fullscreen,0,4014,0.0-0.0,,228,"[159, 31, 157, 206, 49, 156, 71, 0, 239, 40, 236, 140, 83, 189, 60, 200, 230, 171, 230, 76, 104, 56, 84, 121, 171, 137, 33, 88, 6, 165, 189, 214]",114,669eec2e4270c76bc184a38e,666c0088634cc2e1573b49ee,669fe68c86f8c2cac282272f,1,0,0,False,4,69,,,,,,,,,,,,,,,,,,,,,,
,instructions,1,7178,0.0-1.0,,228,"[159, 31, 157, 206, 49, 156, 71, 0, 239, 40, 236, 140, 83, 189, 60, 200, 230, 171, 230, 76, 104, 56, 84, 121, 171, 137, 33, 88, 6, 165, 189, 214]",114,669eec2e4270c76bc184a38e,666c0088634cc2e1573b49ee,669fe68c86f8c2cac282272f,1,0,0,False,4,69,"[{""page_index"":0,""viewing_time"":3161}]",3161.0,,,,,,,,,,,,,,,,,,,,
,instructions,2,12375,0.0-2.0-0.0,,228,"[159, 31, 157, 206, 49, 156, 71, 0, 239, 40, 236, 140, 83, 189, 60, 200, 230, 171, 230, 76, 104, 56, 84, 121, 171, 137, 33, 88, 6, 165, 189, 214]",114,669eec2e4270c76bc184a38e,666c0088634cc2e1573b49ee,669fe68c86f8c2cac282272f,1,0,0,False,4,69,"[{""page_index"":0,""viewing_time"":5198}]",5198.0,,,,,,,,,,,,,,,,,,,,
,survey-multi-choice,3,21054,0.0-2.0-1.0,,228,"[159, 31, 157, 206, 49, 156, 71, 0, 239, 40, 236, 140, 83, 189, 60, 200, 230, 171, 230, 76, 104, 56, 84, 121, 171, 137, 33, 88, 6, 165, 189, 214]",114,669eec2e4270c76bc184a38e,666c0088634cc2e1573b49ee,669fe68c86f8c2cac282272f,1,0,0,False,4,69,,8677.0,"{""Q0"":""... reveal the word with as <b>few letter guesses</b> as possible""}",[0],1.0,multichoice_nonpretend,,,,,,,,,,,,,,,,
,instructions,4,23072,0.0-3.0,,228,"[159, 31, 157, 206, 49, 156, 71, 0, 239, 40, 236, 140, 83, 189, 60, 200, 230, 171, 230, 76, 104, 56, 84, 121, 171, 137, 33, 88, 6, 165, 189, 214]",114,669eec2e4270c76bc184a38e,666c0088634cc2e1573b49ee,669fe68c86f8c2cac282272f,1,0,0,False,4,69,"[{""page_index"":0,""viewing_time"":2017}]",2018.0,,,,,,,,,,,,,,,,,,,,
,Hangman,5,51587,0.0-4.0,,228,"[159, 31, 157, 206, 49, 156, 71, 0, 239, 40, 236, 140, 83, 189, 60, 200, 230, 171, 230, 76, 104, 56, 84, 121, 171, 137, 33, 88, 6, 165, 189, 214]",114,669eec2e4270c76bc184a38e,666c0088634cc2e1573b49ee,669fe68c86f8c2cac282272f,1,0,0,False,4,69,,,,,,,ZEBRA,"{'letter': ['', 'H', 'E', 'B', 'Z', 'R', 'A'], 't': [0, 5449, 13896, 20322, 23667, 25182, 26495], 'hit': [None, 0, 1, 1, 1, 1, 1], 'asked': ['', 'H', 'HE', 'HEB', 'HEBZ', 'HEBZR', 'HEBZRA'], 'word_state': ['_____', '_____', '_E___', '_EB__', 'ZEB__', 'ZEBR_', 'ZEBRA']}","['H', 'E', 'B', 'Z', 'R', 'A']",6.0,14.0,0.0,,,,,,,,,,
,instructions,6,64984,0.0-5.0,,228,"[159, 31, 157, 206, 49, 156, 71, 0, 239, 40, 236, 140, 83, 189, 60, 200, 230, 171, 230, 76, 104, 56, 84, 121, 171, 137, 33, 88, 6, 165, 189, 214]",114,669eec2e4270c76bc184a38e,666c0088634cc2e1573b49ee,669fe68c86f8c2cac282272f,1,0,0,False,4,69,"[{""page_index"":0,""viewing_time"":3141},{""page_index"":1,""viewing_time"":10253}]",13394.0,,,,,,,,,,,,,,,,,,,,
,survey-multi-choice,7,76535,0.0-6.0,,228,"[159, 31, 157, 206, 49, 156, 71, 0, 239, 40, 236, 140, 83, 189, 60, 200, 230, 171, 230, 76, 104, 56, 84, 121, 171, 137, 33, 88, 6, 165, 189, 214]",114,669eec2e4270c76bc184a38e,666c0088634cc2e1573b49ee,669fe68c86f8c2cac282272f,1,0,0,False,4,69,,11551.0,"{""Q0"":""...from <b>a previous session</b> that is not part of the upcoming tournament.""}",[0],1.0,multichoice_leaderboard,,,,,,,,,,,,,,,,
,instructions,8,83314,0.0-8.0,,228,"[159, 31, 157, 206, 49, 156, 71, 0, 239, 40, 236, 140, 83, 189, 60, 200, 230, 171, 230, 76, 104, 56, 84, 121, 171, 137, 33, 88, 6, 165, 189, 214]",114,669eec2e4270c76bc184a38e,666c0088634cc2e1573b49ee,669fe68c86f8c2cac282272f,1,0,0,False,4,69,"[{""page_index"":0,""viewing_time"":6779}]",6779.0,,,,,,,,,,,,,,,,,,,,
,survey-multi-choice,9,93066,0.0-9.0,,228,"[159, 31, 157, 206, 49, 156, 71, 0, 239, 40, 236, 140, 83, 189, 60, 200, 230, 171, 230, 76, 104, 56, 84, 121, 171, 137, 33, 88, 6, 165, 189, 214]",114,669eec2e4270c76bc184a38e,666c0088634cc2e1573b49ee,669fe68c86f8c2cac282272f,1,0,0,False,4,69,,9750.0,"{""Q0"":""...players' leaderboard position (in terms of <b>points</b>) in an <b>upcoming tournament.</b>""}",[0],1.0,multichoice_tournament,,,,,,,,,,,,,,,,
,instructions,10,100581,0.0-11.0,,228,"[159, 31, 157, 206, 49, 156, 71, 0, 239, 40, 236, 140, 83, 189, 60, 200, 230, 171, 230, 76, 104, 56, 84, 121, 171, 137, 33, 88, 6, 165, 189, 214]",114,669eec2e4270c76bc184a38e,666c0088634cc2e1573b49ee,669fe68c86f8c2cac282272f,1,0,0,False,4,69,"[{""page_index"":0,""viewing_time"":7514}]",7514.0,,,,,,,,,,,,,,,,,,,,
,instructions,11,108044,0.0-12.0-0.0,,228,"[159, 31, 157, 206, 49, 156, 71, 0, 239, 40, 236, 140, 83, 189, 60, 200, 230, 171, 230, 76, 104, 56, 84, 121, 171, 137, 33, 88, 6, 165, 189, 214]",114,669eec2e4270c76bc184a38e,666c0088634cc2e1573b49ee,669fe68c86f8c2cac282272f,1,0,0,False,4,69,"[{""page_index"":0,""viewing_time"":7463}]",7463.0,,,,,,,,,,,,,,,,,,,,
