success,trial_type,trial_index,time_elapsed,internal_node_id,protocol_sum,subject_identifier,subject_sum,subject_pair,STUDY_ID,PROLIFIC_PID,SESSION_ID,practice_instructions,leaderboard_instructions,bonus,reveal_word,self_rating,confidence,view_history,rt,responses,question_order,correct,test_part,word,click_log,final_keyboard_state,num_clicks,points,cheat,response,position_RT,position,player,i_game,true_position,distance,last_word,stimulus,confidence_slider_self_response
1.0,fullscreen,0,2594,0.0-0.0,,509,"[149, 18, 217, 93, 0, 214, 27, 222, 192, 61, 43, 153, 214, 236, 196, 85, 238, 86, 68, 174, 82, 209, 14, 124, 74, 97, 201, 48, 98, 220, 151, 163]",254,66a3ed3c5d10d0e7d8a6b9da,6544fd84cf4e51f1de212e54,66a420233f41234d518c7749,1,0,0,True,3,57,,,,,,,,,,,,,,,,,,,,,,
,instructions,1,3493,0.0-1.0,,509,"[149, 18, 217, 93, 0, 214, 27, 222, 192, 61, 43, 153, 214, 236, 196, 85, 238, 86, 68, 174, 82, 209, 14, 124, 74, 97, 201, 48, 98, 220, 151, 163]",254,66a3ed3c5d10d0e7d8a6b9da,6544fd84cf4e51f1de212e54,66a420233f41234d518c7749,1,0,0,True,3,57,"[{""page_index"":0,""viewing_time"":897.8000000119209}]",898.0,,,,,,,,,,,,,,,,,,,,
,instructions,2,4714,0.0-2.0-0.0,,509,"[149, 18, 217, 93, 0, 214, 27, 222, 192, 61, 43, 153, 214, 236, 196, 85, 238, 86, 68, 174, 82, 209, 14, 124, 74, 97, 201, 48, 98, 220, 151, 163]",254,66a3ed3c5d10d0e7d8a6b9da,6544fd84cf4e51f1de212e54,66a420233f41234d518c7749,1,0,0,True,3,57,"[{""page_index"":0,""viewing_time"":1219.7999999821186}]",1220.0,,,,,,,,,,,,,,,,,,,,
,survey-multi-choice,3,6636,0.0-2.0-1.0,,509,"[149, 18, 217, 93, 0, 214, 27, 222, 192, 61, 43, 153, 214, 236, 196, 85, 238, 86, 68, 174, 82, 209, 14, 124, 74, 97, 201, 48, 98, 220, 151, 163]",254,66a3ed3c5d10d0e7d8a6b9da,6544fd84cf4e51f1de212e54,66a420233f41234d518c7749,1,0,0,True,3,57,,1921.0,"{""Q0"":""... reveal the word with as <b>few letter guesses</b> as possible""}",[0],1.0,multichoice_nonpretend,,,,,,,,,,,,,,,,
,instructions,4,7770,0.0-3.0,,509,"[149, 18, 217, 93, 0, 214, 27, 222, 192, 61, 43, 153, 214, 236, 196, 85, 238, 86, 68, 174, 82, 209, 14, 124, 74, 97, 201, 48, 98, 220, 151, 163]",254,66a3ed3c5d10d0e7d8a6b9da,6544fd84cf4e51f1de212e54,66a420233f41234d518c7749,1,0,0,True,3,57,"[{""page_index"":0,""viewing_time"":1133.300000011921}]",1133.5,,,,,,,,,,,,,,,,,,,,
,Hangman,5,16292,0.0-4.0,,509,"[149, 18, 217, 93, 0, 214, 27, 222, 192, 61, 43, 153, 214, 236, 196, 85, 238, 86, 68, 174, 82, 209, 14, 124, 74, 97, 201, 48, 98, 220, 151, 163]",254,66a3ed3c5d10d0e7d8a6b9da,6544fd84cf4e51f1de212e54,66a420233f41234d518c7749,1,0,0,True,3,57,,,,,,,ZEBRA,"{'letter': ['', 'Z', 'E', 'B', 'R', 'A'], 't': [0, 2733.0999999940395, 3661, 4240.9000000059605, 5425.300000011921, 6509.4000000059605], 'hit': [None, 1, 1, 1, 1, 1], 'asked': ['', 'Z', 'ZE', 'ZEB', 'ZEBR', 'ZEBRA'], 'word_state': ['_____', 'Z____', 'ZE___', 'ZEB__', 'ZEBR_', 'ZEBRA']}","['Z', 'E', 'B', 'R', 'A']",5.0,15.0,0.0,,,,,,,,,,
,instructions,6,26098,0.0-5.0,,509,"[149, 18, 217, 93, 0, 214, 27, 222, 192, 61, 43, 153, 214, 236, 196, 85, 238, 86, 68, 174, 82, 209, 14, 124, 74, 97, 201, 48, 98, 220, 151, 163]",254,66a3ed3c5d10d0e7d8a6b9da,6544fd84cf4e51f1de212e54,66a420233f41234d518c7749,1,0,0,True,3,57,"[{""page_index"":0,""viewing_time"":1774.800000011921},{""page_index"":1,""viewing_time"":8030}]",9805.0,,,,,,,,,,,,,,,,,,,,
,survey-multi-choice,7,30984,0.0-6.0,,509,"[149, 18, 217, 93, 0, 214, 27, 222, 192, 61, 43, 153, 214, 236, 196, 85, 238, 86, 68, 174, 82, 209, 14, 124, 74, 97, 201, 48, 98, 220, 151, 163]",254,66a3ed3c5d10d0e7d8a6b9da,6544fd84cf4e51f1de212e54,66a420233f41234d518c7749,1,0,0,True,3,57,,4885.5,"{""Q0"":""...from <b>a previous session</b> that is not part of the upcoming tournament.""}",[0],1.0,multichoice_leaderboard,,,,,,,,,,,,,,,,
,instructions,8,39929,0.0-8.0,,509,"[149, 18, 217, 93, 0, 214, 27, 222, 192, 61, 43, 153, 214, 236, 196, 85, 238, 86, 68, 174, 82, 209, 14, 124, 74, 97, 201, 48, 98, 220, 151, 163]",254,66a3ed3c5d10d0e7d8a6b9da,6544fd84cf4e51f1de212e54,66a420233f41234d518c7749,1,0,0,True,3,57,"[{""page_index"":0,""viewing_time"":8943.90000000596}]",8944.0,,,,,,,,,,,,,,,,,,,,
,survey-multi-choice,9,45060,0.0-9.0,,509,"[149, 18, 217, 93, 0, 214, 27, 222, 192, 61, 43, 153, 214, 236, 196, 85, 238, 86, 68, 174, 82, 209, 14, 124, 74, 97, 201, 48, 98, 220, 151, 163]",254,66a3ed3c5d10d0e7d8a6b9da,6544fd84cf4e51f1de212e54,66a420233f41234d518c7749,1,0,0,True,3,57,,5131.0,"{""Q0"":""...players' leaderboard position (in terms of <b>points</b>) in an <b>upcoming tournament.</b>""}",[0],1.0,multichoice_tournament,,,,,,,,,,,,,,,,
,instructions,10,55985,0.0-11.0,,509,"[149, 18, 217, 93, 0, 214, 27, 222, 192, 61, 43, 153, 214, 236, 196, 85, 238, 86, 68, 174, 82, 209, 14, 124, 74, 97, 201, 48, 98, 220, 151, 163]",254,66a3ed3c5d10d0e7d8a6b9da,6544fd84cf4e51f1de212e54,66a420233f41234d518c7749,1,0,0,True,3,57,"[{""page_index"":0,""viewing_time"":10923.800000011921}]",10924.0,,,,,,,,,,,,,,,,,,,,
