success,trial_type,trial_index,time_elapsed,internal_node_id,protocol_sum,subject_identifier,subject_sum,subject_pair,STUDY_ID,PROLIFIC_PID,SESSION_ID,practice_instructions,leaderboard_instructions,bonus,reveal_word,self_rating,confidence,view_history,rt,responses,question_order,correct,test_part,word,click_log,final_keyboard_state,num_clicks,points,cheat,position_RT,position,player,i_game,true_position,distance,last_word,response,stimulus,confidence_slider_self_response
1.0,fullscreen,0,2248,0.0-0.0,,106,"[40, 88, 220, 209, 5, 125, 62, 174, 127, 125, 95, 120, 33, 103, 226, 75, 97, 21, 60, 1, 85, 20, 80, 166, 40, 206, 231, 34, 80, 159, 101, 41]",53,669a702db1122fc5150a13ce,63d152b798b6954741aa5015,669a8dab14caa691679bbd43,1,1,0,False,2,66,,,,,,,,,,,,,,,,,,,,,,
,instructions,1,4718,0.0-1.0,,106,"[40, 88, 220, 209, 5, 125, 62, 174, 127, 125, 95, 120, 33, 103, 226, 75, 97, 21, 60, 1, 85, 20, 80, 166, 40, 206, 231, 34, 80, 159, 101, 41]",53,669a702db1122fc5150a13ce,63d152b798b6954741aa5015,669a8dab14caa691679bbd43,1,1,0,False,2,66,"[{""page_index"":0,""viewing_time"":2467.899999976158}]",2468.5,,,,,,,,,,,,,,,,,,,,
,instructions,2,31074,0.0-2.0-0.0,,106,"[40, 88, 220, 209, 5, 125, 62, 174, 127, 125, 95, 120, 33, 103, 226, 75, 97, 21, 60, 1, 85, 20, 80, 166, 40, 206, 231, 34, 80, 159, 101, 41]",53,669a702db1122fc5150a13ce,63d152b798b6954741aa5015,669a8dab14caa691679bbd43,1,1,0,False,2,66,"[{""page_index"":0,""viewing_time"":26353.900000095367}]",26354.400000095367,,,,,,,,,,,,,,,,,,,,
,survey-multi-choice,3,43116,0.0-2.0-1.0,,106,"[40, 88, 220, 209, 5, 125, 62, 174, 127, 125, 95, 120, 33, 103, 226, 75, 97, 21, 60, 1, 85, 20, 80, 166, 40, 206, 231, 34, 80, 159, 101, 41]",53,669a702db1122fc5150a13ce,63d152b798b6954741aa5015,669a8dab14caa691679bbd43,1,1,0,False,2,66,,12039.700000047684,"{""Q0"":""... reveal the word with as <b>few letter guesses</b> as possible""}",[0],1.0,multichoice_nonpretend,,,,,,,,,,,,,,,,
,instructions,4,44678,0.0-3.0,,106,"[40, 88, 220, 209, 5, 125, 62, 174, 127, 125, 95, 120, 33, 103, 226, 75, 97, 21, 60, 1, 85, 20, 80, 166, 40, 206, 231, 34, 80, 159, 101, 41]",53,669a702db1122fc5150a13ce,63d152b798b6954741aa5015,669a8dab14caa691679bbd43,1,1,0,False,2,66,"[{""page_index"":0,""viewing_time"":1561.1000000238419}]",1561.3000000715256,,,,,,,,,,,,,,,,,,,,
,Hangman,5,81112,0.0-4.0,,106,"[40, 88, 220, 209, 5, 125, 62, 174, 127, 125, 95, 120, 33, 103, 226, 75, 97, 21, 60, 1, 85, 20, 80, 166, 40, 206, 231, 34, 80, 159, 101, 41]",53,669a702db1122fc5150a13ce,63d152b798b6954741aa5015,669a8dab14caa691679bbd43,1,1,0,False,2,66,,,,,,,ZEBRA,"{'letter': ['', 'S', 'R', 'Z', 'E', 'B', 'A'], 't': [0, 11253.299999952316, 15367.600000023842, 28521.100000023842, 30150.299999952316, 33242.39999997616, 34419.10000002384], 'hit': [None, 0, 1, 1, 1, 1, 1], 'asked': ['', 'S', 'SR', 'SRZ', 'SRZE', 'SRZEB', 'SRZEBA'], 'word_state': ['_____', '_____', '___R_', 'Z__R_', 'ZE_R_', 'ZEBR_', 'ZEBRA']}","['S', 'R', 'Z', 'E', 'B', 'A']",6.0,14.0,0.0,,,,,,,,,,
,instructions,6,98922,0.0-5.0,,106,"[40, 88, 220, 209, 5, 125, 62, 174, 127, 125, 95, 120, 33, 103, 226, 75, 97, 21, 60, 1, 85, 20, 80, 166, 40, 206, 231, 34, 80, 159, 101, 41]",53,669a702db1122fc5150a13ce,63d152b798b6954741aa5015,669a8dab14caa691679bbd43,1,1,0,False,2,66,"[{""page_index"":0,""viewing_time"":5228},{""page_index"":1,""viewing_time"":12579}]",17808.300000071526,,,,,,,,,,,,,,,,,,,,
,survey-multi-choice,7,107040,0.0-6.0,,106,"[40, 88, 220, 209, 5, 125, 62, 174, 127, 125, 95, 120, 33, 103, 226, 75, 97, 21, 60, 1, 85, 20, 80, 166, 40, 206, 231, 34, 80, 159, 101, 41]",53,669a702db1122fc5150a13ce,63d152b798b6954741aa5015,669a8dab14caa691679bbd43,1,1,0,False,2,66,,8116.899999976158,"{""Q0"":""...from <b>a previous session</b> that is part of the upcoming tournament.""}",[0],0.0,multichoice_leaderboard,,,,,,,,,,,,,,,,
,instructions,8,108043,0.0-7.0-0.0,,106,"[40, 88, 220, 209, 5, 125, 62, 174, 127, 125, 95, 120, 33, 103, 226, 75, 97, 21, 60, 1, 85, 20, 80, 166, 40, 206, 231, 34, 80, 159, 101, 41]",53,669a702db1122fc5150a13ce,63d152b798b6954741aa5015,669a8dab14caa691679bbd43,1,1,0,False,2,66,"[{""page_index"":0,""viewing_time"":1001.2999999523163}]",1001.6999999284744,,,,,,,,,,,,,,,,,,,,
,survey-multi-choice,9,112790,0.0-7.0-1.0,,106,"[40, 88, 220, 209, 5, 125, 62, 174, 127, 125, 95, 120, 33, 103, 226, 75, 97, 21, 60, 1, 85, 20, 80, 166, 40, 206, 231, 34, 80, 159, 101, 41]",53,669a702db1122fc5150a13ce,63d152b798b6954741aa5015,669a8dab14caa691679bbd43,1,1,0,False,2,66,,4745.399999976158,"{""Q0"":""...from <b>a previous session</b> that is part of the upcoming tournament.""}",[0],0.0,multichoice_leaderboard,,,,,,,,,,,,,,,,
