"success","trial_type","trial_index","time_elapsed","internal_node_id","protocol_sum","subject_identifier","subject_sum","subject_pair","STUDY_ID","PROLIFIC_PID","SESSION_ID","practice_instructions","leaderboard_instructions","bonus","reveal_word","self_rating","confidence","view_history","rt","responses","question_order","correct","test_part","word","final_keyboard_state","num_clicks","points","cheat","response","position_RT","position","player","i_game","true_position","distance","last_word","stimulus","confidence_slider_self_response"
"true","fullscreen","0","3961","0.0-0.0","","25","107,81,212,49,223,93,127,20,28,190,206,204,247,158,223,61,216,97,195,180,6,159,11,17,102,26,62,239,172,187,169,24","12","669a58f4f17d67c0aba4c4d3","65cba5290b9dca9291cd76ac","669a6953f0d486b10e4b9fc3","1","0","1","true","6","100","","","","","","","","","","","","","","","","","","","","",""
"","instructions","1","9557","0.0-1.0","","25","107,81,212,49,223,93,127,20,28,190,206,204,247,158,223,61,216,97,195,180,6,159,11,17,102,26,62,239,172,187,169,24","12","669a58f4f17d67c0aba4c4d3","65cba5290b9dca9291cd76ac","669a6953f0d486b10e4b9fc3","1","0","1","true","6","100","[{""page_index"":0,""viewing_time"":5593.899999976158}]","5594.299999952316","","","","","","","","","","","","","","","","","","",""
"","instructions","2","31154","0.0-2.0-0.0","","25","107,81,212,49,223,93,127,20,28,190,206,204,247,158,223,61,216,97,195,180,6,159,11,17,102,26,62,239,172,187,169,24","12","669a58f4f17d67c0aba4c4d3","65cba5290b9dca9291cd76ac","669a6953f0d486b10e4b9fc3","1","0","1","true","6","100","[{""page_index"":0,""viewing_time"":21595.200000047684}]","21595.600000023842","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","47312","0.0-2.0-1.0","","25","107,81,212,49,223,93,127,20,28,190,206,204,247,158,223,61,216,97,195,180,6,159,11,17,102,26,62,239,172,187,169,24","12","669a58f4f17d67c0aba4c4d3","65cba5290b9dca9291cd76ac","669a6953f0d486b10e4b9fc3","1","0","1","true","6","100","","16149.200000047684","{""Q0"":""... reveal the word with as <b>few letter guesses</b> as possible""}","[0]","true","multichoice_nonpretend","","","","","","","","","","","","","","",""
"","instructions","4","50147","0.0-3.0","","25","107,81,212,49,223,93,127,20,28,190,206,204,247,158,223,61,216,97,195,180,6,159,11,17,102,26,62,239,172,187,169,24","12","669a58f4f17d67c0aba4c4d3","65cba5290b9dca9291cd76ac","669a6953f0d486b10e4b9fc3","1","0","1","true","6","100","[{""page_index"":0,""viewing_time"":2834.5}]","2834.899999976158","","","","","","","","","","","","","","","","","","",""
"","Hangman","5","104766","0.0-4.0","","25","107,81,212,49,223,93,127,20,28,190,206,204,247,158,223,61,216,97,195,180,6,159,11,17,102,26,62,239,172,187,169,24","12","669a58f4f17d67c0aba4c4d3","65cba5290b9dca9291cd76ac","669a6953f0d486b10e4b9fc3","1","0","1","true","6","100","","","","","","","ZEBRA","T,I,G,E,R,L,D,W,P,N,B,Z,A","13","7","false","","","","","","","","","",""
"","instructions","6","123764","0.0-5.0","","25","107,81,212,49,223,93,127,20,28,190,206,204,247,158,223,61,216,97,195,180,6,159,11,17,102,26,62,239,172,187,169,24","12","669a58f4f17d67c0aba4c4d3","65cba5290b9dca9291cd76ac","669a6953f0d486b10e4b9fc3","1","0","1","true","6","100","[{""page_index"":0,""viewing_time"":4608.299999952316},{""page_index"":1,""viewing_time"":14387.600000023842}]","18998.099999904633","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","7","132742","0.0-6.0","","25","107,81,212,49,223,93,127,20,28,190,206,204,247,158,223,61,216,97,195,180,6,159,11,17,102,26,62,239,172,187,169,24","12","669a58f4f17d67c0aba4c4d3","65cba5290b9dca9291cd76ac","669a6953f0d486b10e4b9fc3","1","0","1","true","6","100","","8975.599999904633","{""Q0"":""...from <b>a previous session</b> that is part of the upcoming tournament.""}","[0]","false","multichoice_leaderboard","","","","","","","","","","","","","","",""
"","instructions","8","140116","0.0-7.0-0.0","","25","107,81,212,49,223,93,127,20,28,190,206,204,247,158,223,61,216,97,195,180,6,159,11,17,102,26,62,239,172,187,169,24","12","669a58f4f17d67c0aba4c4d3","65cba5290b9dca9291cd76ac","669a6953f0d486b10e4b9fc3","1","0","1","true","6","100","[{""page_index"":0,""viewing_time"":7372.299999952316}]","7372.5","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","9","150890","0.0-7.0-1.0","","25","107,81,212,49,223,93,127,20,28,190,206,204,247,158,223,61,216,97,195,180,6,159,11,17,102,26,62,239,172,187,169,24","12","669a58f4f17d67c0aba4c4d3","65cba5290b9dca9291cd76ac","669a6953f0d486b10e4b9fc3","1","0","1","true","6","100","","10772.300000071526","{""Q0"":""...from <b>a previous session</b> that is part of the upcoming tournament.""}","[0]","false","multichoice_leaderboard","","","","","","","","","","","","","","",""
