"success","trial_type","trial_index","time_elapsed","internal_node_id","protocol_sum","subject_identifier","subject_sum","subject_pair","STUDY_ID","PROLIFIC_PID","SESSION_ID","practice_instructions","leaderboard_instructions","bonus","reveal_word","self_rating","confidence","view_history","rt","responses","question_order","correct","test_part","word","final_keyboard_state","num_clicks","points","cheat","position_RT","position","player","i_game","true_position","distance","last_word","response","stimulus","confidence_slider_self_response"
"true","fullscreen","0","3706","0.0-0.0","","114","200,55,100,156,206,67,242,114,145,56,231,44,195,21,32,112,87,172,130,89,154,89,190,114,118,90,71,127,34,209,74,84","57","669a702db1122fc5150a13ce","65ad465b1c79ea32da32e582","669ac448db735766227ae2c5","1","2","0","false","4","71","","","","","","","","","","","","","","","","","","","","",""
"","instructions","1","10054","0.0-1.0","","114","200,55,100,156,206,67,242,114,145,56,231,44,195,21,32,112,87,172,130,89,154,89,190,114,118,90,71,127,34,209,74,84","57","669a702db1122fc5150a13ce","65ad465b1c79ea32da32e582","669ac448db735766227ae2c5","1","2","0","false","4","71","[{""page_index"":0,""viewing_time"":6345.5999999940395}]","6346.399999976158","","","","","","","","","","","","","","","","","","",""
"","instructions","2","37653","0.0-2.0-0.0","","114","200,55,100,156,206,67,242,114,145,56,231,44,195,21,32,112,87,172,130,89,154,89,190,114,118,90,71,127,34,209,74,84","57","669a702db1122fc5150a13ce","65ad465b1c79ea32da32e582","669ac448db735766227ae2c5","1","2","0","false","4","71","[{""page_index"":0,""viewing_time"":27597.90000000596}]","27598.5","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","44748","0.0-2.0-1.0","","114","200,55,100,156,206,67,242,114,145,56,231,44,195,21,32,112,87,172,130,89,154,89,190,114,118,90,71,127,34,209,74,84","57","669a702db1122fc5150a13ce","65ad465b1c79ea32da32e582","669ac448db735766227ae2c5","1","2","0","false","4","71","","7092","{""Q0"":""... reveal the word with as <b>few letter guesses</b> as possible""}","[0]","true","multichoice_nonpretend","","","","","","","","","","","","","","",""
"","instructions","4","58246","0.0-3.0","","114","200,55,100,156,206,67,242,114,145,56,231,44,195,21,32,112,87,172,130,89,154,89,190,114,118,90,71,127,34,209,74,84","57","669a702db1122fc5150a13ce","65ad465b1c79ea32da32e582","669ac448db735766227ae2c5","1","2","0","false","4","71","[{""page_index"":0,""viewing_time"":13495.90000000596}]","13496.200000017881","","","","","","","","","","","","","","","","","","",""
"","Hangman","5","214335","0.0-4.0","","114","200,55,100,156,206,67,242,114,145,56,231,44,195,21,32,112,87,172,130,89,154,89,190,114,118,90,71,127,34,209,74,84","57","669a702db1122fc5150a13ce","65ad465b1c79ea32da32e582","669ac448db735766227ae2c5","1","2","0","false","4","71","","","","","","","ZEBRA","T,I,G,E,R,Z,B,A","8","12","false","","","","","","","","","",""
"","instructions","6","258927","0.0-5.0","","114","200,55,100,156,206,67,242,114,145,56,231,44,195,21,32,112,87,172,130,89,154,89,190,114,118,90,71,127,34,209,74,84","57","669a702db1122fc5150a13ce","65ad465b1c79ea32da32e582","669ac448db735766227ae2c5","1","2","0","false","4","71","[{""page_index"":0,""viewing_time"":14183.700000017881},{""page_index"":1,""viewing_time"":30404}]","44589","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","7","268726","0.0-6.0","","114","200,55,100,156,206,67,242,114,145,56,231,44,195,21,32,112,87,172,130,89,154,89,190,114,118,90,71,127,34,209,74,84","57","669a702db1122fc5150a13ce","65ad465b1c79ea32da32e582","669ac448db735766227ae2c5","1","2","0","false","4","71","","9797","{""Q0"":""...from <b>a previous session</b> that is not part of the upcoming tournament.""}","[0]","true","multichoice_leaderboard","","","","","","","","","","","","","","",""
"","instructions","8","278544","0.0-8.0","","114","200,55,100,156,206,67,242,114,145,56,231,44,195,21,32,112,87,172,130,89,154,89,190,114,118,90,71,127,34,209,74,84","57","669a702db1122fc5150a13ce","65ad465b1c79ea32da32e582","669ac448db735766227ae2c5","1","2","0","false","4","71","[{""page_index"":0,""viewing_time"":9816.90000000596}]","9817.5","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","9","295810","0.0-9.0","","114","200,55,100,156,206,67,242,114,145,56,231,44,195,21,32,112,87,172,130,89,154,89,190,114,118,90,71,127,34,209,74,84","57","669a702db1122fc5150a13ce","65ad465b1c79ea32da32e582","669ac448db735766227ae2c5","1","2","0","false","4","71","","17263.70000001788","{""Q0"":""...how well players did (in terms of <b>points</b>) in <b>previous games.</b>""}","[0]","false","multichoice_tournament","","","","","","","","","","","","","","",""
"","instructions","10","299402","0.0-10.0-0.0","","114","200,55,100,156,206,67,242,114,145,56,231,44,195,21,32,112,87,172,130,89,154,89,190,114,118,90,71,127,34,209,74,84","57","669a702db1122fc5150a13ce","65ad465b1c79ea32da32e582","669ac448db735766227ae2c5","1","2","0","false","4","71","[{""page_index"":0,""viewing_time"":3589.800000011921}]","3590.0999999940395","","","","","","","","","","","","","","","","","","",""
