"","success","trial_type","trial_index","time_elapsed","internal_node_id","protocol_sum","subject_identifier","subject_sum","subject_pair","STUDY_ID","PROLIFIC_PID","SESSION_ID","practice_instructions","leaderboard_instructions","bonus","reveal_word","self_rating","confidence","view_history","rt","responses","question_order","correct","test_part","word","final_keyboard_state","num_clicks","points","cheat","position_RT","position","player","i_game","true_position","distance","last_word","response","stimulus","confidence_slider_self_response"
"1","true","fullscreen",0,3105,"0.0-0.0",NA,20,"74,68,220,21,54,66,4,168,15,232,14,144,57,69,92,193,96,130,129,130,15,226,178,79,30,82,51,173,230,175,29,213",10,"669a58f4f17d67c0aba4c4d3","5d4c78071b920f00198e8533","669a5c6f777f0ecd9e7b0369",1,0,0,"false",3,0,"",NA,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA
"2","","instructions",1,11527,"0.0-1.0",NA,20,"74,68,220,21,54,66,4,168,15,232,14,144,57,69,92,193,96,130,129,130,15,226,178,79,30,82,51,173,230,175,29,213",10,"669a58f4f17d67c0aba4c4d3","5d4c78071b920f00198e8533","669a5c6f777f0ecd9e7b0369",1,0,0,"false",3,0,"[{""page_index"":0,""viewing_time"":8420}]",8420.5,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA
"3","","instructions",2,25898,"0.0-2.0-0.0",NA,20,"74,68,220,21,54,66,4,168,15,232,14,144,57,69,92,193,96,130,129,130,15,226,178,79,30,82,51,173,230,175,29,213",10,"669a58f4f17d67c0aba4c4d3","5d4c78071b920f00198e8533","669a5c6f777f0ecd9e7b0369",1,0,0,"false",3,0,"[{""page_index"":0,""viewing_time"":14369.600000000093}]",14369.8999999999,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA
"4","","survey-multi-choice",3,36846,"0.0-2.0-1.0",NA,20,"74,68,220,21,54,66,4,168,15,232,14,144,57,69,92,193,96,130,129,130,15,226,178,79,30,82,51,173,230,175,29,213",10,"669a58f4f17d67c0aba4c4d3","5d4c78071b920f00198e8533","669a5c6f777f0ecd9e7b0369",1,0,0,"false",3,0,"",10945.3999999999,"{""Q0"":""... reveal the word with as <b>few letter guesses</b> as possible""}","[0]","true","multichoice_nonpretend","","",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA
"5","","instructions",4,39074,"0.0-3.0",NA,20,"74,68,220,21,54,66,4,168,15,232,14,144,57,69,92,193,96,130,129,130,15,226,178,79,30,82,51,173,230,175,29,213",10,"669a58f4f17d67c0aba4c4d3","5d4c78071b920f00198e8533","669a5c6f777f0ecd9e7b0369",1,0,0,"false",3,0,"[{""page_index"":0,""viewing_time"":2227}]",2227.29999999981,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA
"6","","Hangman",5,84034,"0.0-4.0",NA,20,"74,68,220,21,54,66,4,168,15,232,14,144,57,69,92,193,96,130,129,130,15,226,178,79,30,82,51,173,230,175,29,213",10,"669a58f4f17d67c0aba4c4d3","5d4c78071b920f00198e8533","669a5c6f777f0ecd9e7b0369",1,0,0,"false",3,0,"",NA,"","","","","ZEBRA","E,M,D,H,B,Z,R,A",8,12,"false",NA,NA,NA,NA,NA,NA,"",NA,"",NA
"7","","instructions",6,96709,"0.0-5.0",NA,20,"74,68,220,21,54,66,4,168,15,232,14,144,57,69,92,193,96,130,129,130,15,226,178,79,30,82,51,173,230,175,29,213",10,"669a58f4f17d67c0aba4c4d3","5d4c78071b920f00198e8533","669a5c6f777f0ecd9e7b0369",1,0,0,"false",3,0,"[{""page_index"":0,""viewing_time"":1995.6000000000931},{""page_index"":1,""viewing_time"":10677}]",12673.3999999999,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA
"8","","survey-multi-choice",7,103211,"0.0-6.0",NA,20,"74,68,220,21,54,66,4,168,15,232,14,144,57,69,92,193,96,130,129,130,15,226,178,79,30,82,51,173,230,175,29,213",10,"669a58f4f17d67c0aba4c4d3","5d4c78071b920f00198e8533","669a5c6f777f0ecd9e7b0369",1,0,0,"false",3,0,"",6500,"{""Q0"":""...from <b>a previous session</b> that is part of the upcoming tournament.""}","[0]","false","multichoice_leaderboard","","",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA
"9","","instructions",8,105328,"0.0-7.0-0.0",NA,20,"74,68,220,21,54,66,4,168,15,232,14,144,57,69,92,193,96,130,129,130,15,226,178,79,30,82,51,173,230,175,29,213",10,"669a58f4f17d67c0aba4c4d3","5d4c78071b920f00198e8533","669a5c6f777f0ecd9e7b0369",1,0,0,"false",3,0,"[{""page_index"":0,""viewing_time"":2116}]",2116.20000000019,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA
"10","","survey-multi-choice",9,111361,"0.0-7.0-1.0",NA,20,"74,68,220,21,54,66,4,168,15,232,14,144,57,69,92,193,96,130,129,130,15,226,178,79,30,82,51,173,230,175,29,213",10,"669a58f4f17d67c0aba4c4d3","5d4c78071b920f00198e8533","669a5c6f777f0ecd9e7b0369",1,0,0,"false",3,0,"",6031.40000000037,"{""Q0"":""...from <b>a previous session</b> that is part of the upcoming tournament.""}","[0]","false","multichoice_leaderboard","","",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA
"11","","instructions",10,113209,"0.0-7.1-0.1",NA,20,"74,68,220,21,54,66,4,168,15,232,14,144,57,69,92,193,96,130,129,130,15,226,178,79,30,82,51,173,230,175,29,213",10,"669a58f4f17d67c0aba4c4d3","5d4c78071b920f00198e8533","669a5c6f777f0ecd9e7b0369",1,0,0,"false",3,0,"[{""page_index"":0,""viewing_time"":1845.2000000001863}]",1845.60000000009,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA
"12","","survey-multi-choice",11,117223,"0.0-7.1-1.1",NA,20,"74,68,220,21,54,66,4,168,15,232,14,144,57,69,92,193,96,130,129,130,15,226,178,79,30,82,51,173,230,175,29,213",10,"669a58f4f17d67c0aba4c4d3","5d4c78071b920f00198e8533","669a5c6f777f0ecd9e7b0369",1,0,0,"false",3,0,"",4012.60000000009,"{""Q0"":""...from the <b>upcoming tournament</b>.""}","[0]","false","multichoice_leaderboard","","",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA
"13","","instructions",12,118752,"0.0-7.2-0.2",NA,20,"74,68,220,21,54,66,4,168,15,232,14,144,57,69,92,193,96,130,129,130,15,226,178,79,30,82,51,173,230,175,29,213",10,"669a58f4f17d67c0aba4c4d3","5d4c78071b920f00198e8533","669a5c6f777f0ecd9e7b0369",1,0,0,"false",3,0,"[{""page_index"":0,""viewing_time"":1527.5}]",1527.79999999981,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA
"14","","survey-multi-choice",13,121364,"0.0-7.2-1.2",NA,20,"74,68,220,21,54,66,4,168,15,232,14,144,57,69,92,193,96,130,129,130,15,226,178,79,30,82,51,173,230,175,29,213",10,"669a58f4f17d67c0aba4c4d3","5d4c78071b920f00198e8533","669a5c6f777f0ecd9e7b0369",1,0,0,"false",3,0,"",2610.20000000019,"{""Q0"":""...from <b>a previous session</b> that is not part of the upcoming tournament.""}","[0]","true","multichoice_leaderboard","","",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA
"15","","instructions",14,131543,"0.0-8.0",NA,20,"74,68,220,21,54,66,4,168,15,232,14,144,57,69,92,193,96,130,129,130,15,226,178,79,30,82,51,173,230,175,29,213",10,"669a58f4f17d67c0aba4c4d3","5d4c78071b920f00198e8533","669a5c6f777f0ecd9e7b0369",1,0,0,"false",3,0,"[{""page_index"":0,""viewing_time"":10177.799999999814}]",10178.1000000001,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA
