"success","trial_type","trial_index","time_elapsed","internal_node_id","protocol_sum","subject_identifier","subject_sum","subject_pair","STUDY_ID","PROLIFIC_PID","SESSION_ID","practice_instructions","leaderboard_instructions","bonus","reveal_word","self_rating","confidence","view_history","rt","responses","question_order","correct","test_part","word","final_keyboard_state","num_clicks","points","cheat","position_RT","position","player","i_game","true_position","distance","last_word","response","stimulus","confidence_slider_self_response"
"true","fullscreen",0,19815,"0.0-0.0",NA,514,"76,151,0,4,176,103,141,67,159,23,126,119,211,202,189,183,233,164,77,247,112,148,141,220,36,103,203,199,107,114,17,195",257,"66a3ed3c5d10d0e7d8a6b9da","669aecb075f22207e8e8d2ef","66a42b3fab18ede54b07010d",1,1,0,"false",1,100,"",NA,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA
"","instructions",1,25422,"0.0-1.0",NA,514,"76,151,0,4,176,103,141,67,159,23,126,119,211,202,189,183,233,164,77,247,112,148,141,220,36,103,203,199,107,114,17,195",257,"66a3ed3c5d10d0e7d8a6b9da","669aecb075f22207e8e8d2ef","66a42b3fab18ede54b07010d",1,1,0,"false",1,100,"[{""page_index"":0,""viewing_time"":5603.5999999940395}]",5604.29999999702,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA
"","instructions",2,37856,"0.0-2.0-0.0",NA,514,"76,151,0,4,176,103,141,67,159,23,126,119,211,202,189,183,233,164,77,247,112,148,141,220,36,103,203,199,107,114,17,195",257,"66a3ed3c5d10d0e7d8a6b9da","669aecb075f22207e8e8d2ef","66a42b3fab18ede54b07010d",1,1,0,"false",1,100,"[{""page_index"":0,""viewing_time"":12431.5}]",12432.5,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA
"","survey-multi-choice",3,47419,"0.0-2.0-1.0",NA,514,"76,151,0,4,176,103,141,67,159,23,126,119,211,202,189,183,233,164,77,247,112,148,141,220,36,103,203,199,107,114,17,195",257,"66a3ed3c5d10d0e7d8a6b9da","669aecb075f22207e8e8d2ef","66a42b3fab18ede54b07010d",1,1,0,"false",1,100,"",9553.89999999106,"{""Q0"":""... reveal the word with as <b>few letter guesses</b> as possible""}","[0]","true","multichoice_nonpretend","","",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA
"","instructions",4,51030,"0.0-3.0",NA,514,"76,151,0,4,176,103,141,67,159,23,126,119,211,202,189,183,233,164,77,247,112,148,141,220,36,103,203,199,107,114,17,195",257,"66a3ed3c5d10d0e7d8a6b9da","669aecb075f22207e8e8d2ef","66a42b3fab18ede54b07010d",1,1,0,"false",1,100,"[{""page_index"":0,""viewing_time"":3604.5}]",3605.10000000894,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA
"","Hangman",5,119572,"0.0-4.0",NA,514,"76,151,0,4,176,103,141,67,159,23,126,119,211,202,189,183,233,164,77,247,112,148,141,220,36,103,203,199,107,114,17,195",257,"66a3ed3c5d10d0e7d8a6b9da","669aecb075f22207e8e8d2ef","66a42b3fab18ede54b07010d",1,1,0,"false",1,100,"",NA,"","","","","ZEBRA","T,S,E,D,R,B,Z,A",8,12,"false",NA,NA,NA,NA,NA,NA,"",NA,"",NA
"","instructions",6,141690,"0.0-5.0",NA,514,"76,151,0,4,176,103,141,67,159,23,126,119,211,202,189,183,233,164,77,247,112,148,141,220,36,103,203,199,107,114,17,195",257,"66a3ed3c5d10d0e7d8a6b9da","669aecb075f22207e8e8d2ef","66a42b3fab18ede54b07010d",1,1,0,"false",1,100,"[{""page_index"":0,""viewing_time"":4910.199999988079},{""page_index"":1,""viewing_time"":17199.40000000596}]",22112.3999999911,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA
"","survey-multi-choice",7,156926,"0.0-6.0",NA,514,"76,151,0,4,176,103,141,67,159,23,126,119,211,202,189,183,233,164,77,247,112,148,141,220,36,103,203,199,107,114,17,195",257,"66a3ed3c5d10d0e7d8a6b9da","669aecb075f22207e8e8d2ef","66a42b3fab18ede54b07010d",1,1,0,"false",1,100,"",15229.1999999881,"{""Q0"":""...from <b>a previous session</b> that is part of the upcoming tournament.""}","[0]","false","multichoice_leaderboard","","",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA
"","instructions",8,158562,"0.0-7.0-0.0",NA,514,"76,151,0,4,176,103,141,67,159,23,126,119,211,202,189,183,233,164,77,247,112,148,141,220,36,103,203,199,107,114,17,195",257,"66a3ed3c5d10d0e7d8a6b9da","669aecb075f22207e8e8d2ef","66a42b3fab18ede54b07010d",1,1,0,"false",1,100,"[{""page_index"":0,""viewing_time"":1632.2999999970198}]",1633,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA
"","survey-multi-choice",9,166029,"0.0-7.0-1.0",NA,514,"76,151,0,4,176,103,141,67,159,23,126,119,211,202,189,183,233,164,77,247,112,148,141,220,36,103,203,199,107,114,17,195",257,"66a3ed3c5d10d0e7d8a6b9da","669aecb075f22207e8e8d2ef","66a42b3fab18ede54b07010d",1,1,0,"false",1,100,"",7462.79999999702,"{""Q0"":""...from <b>a previous session</b> that is part of the upcoming tournament.""}","[0]","false","multichoice_leaderboard","","",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA
