"","success","trial_type","trial_index","time_elapsed","internal_node_id","protocol_sum","subject_identifier","subject_sum","subject_pair","STUDY_ID","PROLIFIC_PID","SESSION_ID","practice_instructions","leaderboard_instructions","bonus","reveal_word","self_rating","confidence","view_history","rt","responses","question_order","correct","test_part","word","final_keyboard_state","num_clicks","points","cheat","response","position_RT","position","player","i_game","true_position","distance","last_word","stimulus","confidence_slider_self_response"
"1","true","fullscreen",0,4889,"0.0-0.0",NA,401,"39,186,220,152,61,241,120,11,96,194,179,250,157,58,25,160,14,70,170,199,152,69,31,15,235,220,165,41,32,250,173,223",200,"66a22c0758a3d5c9d26873c6","6652982569df798e71daaf11","66a232b3477d50b7aea0b065",1,0,0,"true",3,18,"",NA,"","","","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA
"2","","instructions",1,10873,"0.0-1.0",NA,401,"39,186,220,152,61,241,120,11,96,194,179,250,157,58,25,160,14,70,170,199,152,69,31,15,235,220,165,41,32,250,173,223",200,"66a22c0758a3d5c9d26873c6","6652982569df798e71daaf11","66a232b3477d50b7aea0b065",1,0,0,"true",3,18,"[{""page_index"":0,""viewing_time"":5982.5}]",5982.79999995232,"","","","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA
"3","","instructions",2,41356,"0.0-2.0-0.0",NA,401,"39,186,220,152,61,241,120,11,96,194,179,250,157,58,25,160,14,70,170,199,152,69,31,15,235,220,165,41,32,250,173,223",200,"66a22c0758a3d5c9d26873c6","6652982569df798e71daaf11","66a232b3477d50b7aea0b065",1,0,0,"true",3,18,"[{""page_index"":0,""viewing_time"":30482.400000095367}]",30482.5999999046,"","","","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA
"4","","survey-multi-choice",3,53000,"0.0-2.0-1.0",NA,401,"39,186,220,152,61,241,120,11,96,194,179,250,157,58,25,160,14,70,170,199,152,69,31,15,235,220,165,41,32,250,173,223",200,"66a22c0758a3d5c9d26873c6","6652982569df798e71daaf11","66a232b3477d50b7aea0b065",1,0,0,"true",3,18,"",11642,"{""Q0"":""... reveal the word with as <b>few letter guesses</b> as possible""}","[0]","true","multichoice_nonpretend","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA
"5","","instructions",4,54999,"0.0-3.0",NA,401,"39,186,220,152,61,241,120,11,96,194,179,250,157,58,25,160,14,70,170,199,152,69,31,15,235,220,165,41,32,250,173,223",200,"66a22c0758a3d5c9d26873c6","6652982569df798e71daaf11","66a232b3477d50b7aea0b065",1,0,0,"true",3,18,"[{""page_index"":0,""viewing_time"":1996.9000000953674}]",1997,"","","","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA
"6","","Hangman",5,120558,"0.0-4.0",NA,401,"39,186,220,152,61,241,120,11,96,194,179,250,157,58,25,160,14,70,170,199,152,69,31,15,235,220,165,41,32,250,173,223",200,"66a22c0758a3d5c9d26873c6","6652982569df798e71daaf11","66a232b3477d50b7aea0b065",1,0,0,"true",3,18,"",NA,"","","","","ZEBRA","A,P,N,R,T,S,C,O,I,E,V,B,Z",13,7,"false","",NA,NA,NA,NA,NA,NA,"","",NA
"7","","instructions",6,144806,"0.0-5.0",NA,401,"39,186,220,152,61,241,120,11,96,194,179,250,157,58,25,160,14,70,170,199,152,69,31,15,235,220,165,41,32,250,173,223",200,"66a22c0758a3d5c9d26873c6","6652982569df798e71daaf11","66a232b3477d50b7aea0b065",1,0,0,"true",3,18,"[{""page_index"":0,""viewing_time"":2990.5},{""page_index"":1,""viewing_time"":21255.699999809265}]",24247.5,"","","","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA
"8","","survey-multi-choice",7,151496,"0.0-6.0",NA,401,"39,186,220,152,61,241,120,11,96,194,179,250,157,58,25,160,14,70,170,199,152,69,31,15,235,220,165,41,32,250,173,223",200,"66a22c0758a3d5c9d26873c6","6652982569df798e71daaf11","66a232b3477d50b7aea0b065",1,0,0,"true",3,18,"",6687.39999985695,"{""Q0"":""...from <b>a previous session</b> that is not part of the upcoming tournament.""}","[0]","true","multichoice_leaderboard","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA
"9","","instructions",8,165176,"0.0-8.0",NA,401,"39,186,220,152,61,241,120,11,96,194,179,250,157,58,25,160,14,70,170,199,152,69,31,15,235,220,165,41,32,250,173,223",200,"66a22c0758a3d5c9d26873c6","6652982569df798e71daaf11","66a232b3477d50b7aea0b065",1,0,0,"true",3,18,"[{""page_index"":0,""viewing_time"":13679.899999856949}]",13680.0999999046,"","","","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA
"10","","survey-multi-choice",9,179542,"0.0-9.0",NA,401,"39,186,220,152,61,241,120,11,96,194,179,250,157,58,25,160,14,70,170,199,152,69,31,15,235,220,165,41,32,250,173,223",200,"66a22c0758a3d5c9d26873c6","6652982569df798e71daaf11","66a232b3477d50b7aea0b065",1,0,0,"true",3,18,"",14364.7000000477,"{""Q0"":""...players' leaderboard position (in terms of <b>points</b>) in an <b>upcoming tournament.</b>""}","[0]","true","multichoice_tournament","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA
